Titre,Prix,Adresse,Description
Tensiomètre électronique à bras numérique,15 000 F Cfa,Castor Dakar,"Écran LCD clair
Haute précision
Grâce à la mesure oscillométrique de la pression artérielle, mesurez avec précision la pression artérielle, informez votre état de santé en moins de 10 secondes
Mode double utilisateur
Chacun des 90 ensembles de mesures est en mémoire par utilisateur, pratique à consulter et à conserver données sécurisées même lorsque la batterie est épuisée
Pression intelligente
Selon la situation individuelle des participants, réglage automatique du niveau de gonflage, l'appareil s'évacue automatiquement rapidement lorsque la pression dépasse 295 mmHg.
Brassard confortable
Le brassard réglable s'adapte à une circonférence du bras de 22 à 42 cm/8,67. -16,5 pouces avec confort
Conseils sur les battements cardiaques irréguliers
Vous alerte instantanément si un battement cardiaque irrégulier est détecté pendant la mesure de votre tension artérielle
Arrêt automatique
Grâce à son mécanisme intelligent, ce compteur portable peut s'arrêter automatiquement sans opération pendant 1 minPressurisation : Mode de pressurisation entièrement automatique
Décompression : Mode de décompression entièrement automatique
Décharge d'air : Mode d'échappement rapide de l'air entièrement automatique
Induction forcée : Capteur de pression à semi-conducteur
Précision de la pression : +/-3 mmHg
Précision de l'impulsion : +/-5 pour cent
Température de fonctionnement : 10-40 Deg.C/50-104 Deg .F
Température de stockage/transport : -20-50 Deg.C/-4 - 122 Deg.F
Humidité de fonctionnement : 30-85 pour cent, sans condensation
Humidité de stockage/transport : 15-90 pour cent, sans condensationDétails du produit
Type d'article : Pression artérielle
Pour (pression artérielle) : Bras
Plage de mesure : 40-260 mmHg (5,33-34,66 kPa)
Tension (V) : 5
Écran d'affichage : LCD
Fréquence cardiaque : 40-200 fois/min
Poids du produit : 0,3460 kg
Poids du colis : 0,4390 kg
Taille du produit (LxlxH) : 10,10x4,80x13,20 cm/3,98x1,89x5,2 pouces
Taille de l'emballage (LxlxH) : 11,00x6,50x17,40 cm/4,33x2,56x6,85 pouces
Contenu de l'emballage : 1 x tension artérielle Moniteur, 1 x brassard, 1 x manuel en anglais
Écran LCD clair : le grand écran numérique LCD affiche clairement votre pression systolique, votre pression diastolique, votre fréquence cardiaque, ainsi que la date, l'heure, l'utilisateur, c'est facile à enregistrer.
Haute précision : grâce à la mesure oscillométrique de la pression artérielle, mesurez avec précision la pression artérielle et informez votre état de santé en moins de 10 secondes.
Mode double utilisateur : chacun des 90 ensembles de mesures est stocké en mémoire par utilisateur, ce qui est pratique pour consulter et conserver les données en sécurité même lorsque la batterie est épuisée.
Pression intelligente : selon la situation individuelle des participants, réglage automatique du niveau de gonflage, l'unité s'épuisera automatiquement rapidement lorsque la pression dépasse 295 mmHg.
Brassard confortable : le brassard réglable s'adapte à une circonférence supérieure du bras de 22 à 42 cm/8,67 à 16,5 pouces avec confort.Détails du produit
Caractéristiques :
Écran LCD clair
Haute précision
Grâce à la mesure oscillométrique de la pression artérielle, mesurez avec précision la pression artérielle, informez votre état de santé en moins de 10 secondes
Mode double utilisateur
Chacun des 90 ensembles de mesures est en mémoire par utilisateur, pratique à consulter et à conserver données sécurisées même lorsque la batterie est épuisée
Pression intelligente
Selon la situation individuelle des participants, réglage automatique du niveau de gonflage, l'appareil s'évacue automatiquement rapidement lorsque la pression dépasse 295 mmHg.
Brassard confortable
Le brassard réglable s'adapte à une circonférence du bras de 22 à 42 cm/8,67. -16,5 pouces avec confort
Conseils sur les battements cardiaques irréguliers
Vous alerte instantanément si un battement cardiaque irrégulier est détecté pendant la mesure de votre tension artérielle
Arrêt automatique
Grâce à son mécanisme intelligent, ce compteur portable peut s'arrêter automatiquement sans opération pendant 1 minPressurisation : Mode de pressurisation entièrement automatique
Décompression : Mode de décompression entièrement automatique
Décharge d'air : Mode d'échappement rapide de l'air entièrement automatique
Induction forcée : Capteur de pression à semi-conducteur
Précision de la pression : +/-3 mmHg
Précision de l'impulsion : +/-5 pour cent
Température de fonctionnement : 10-40 Deg.C/50-104 Deg .F
Température de stockage/transport : -20-50 Deg.C/-4 - 122 Deg.F
Humidité de fonctionnement : 30-85 pour cent, sans condensation
Humidité de stockage/transport : 15-90 pour cent, sans condensationDétails du produit
Type d'article : Pression artérielle
Pour (pression artérielle) : Bras
Plage de mesure : 40-260 mmHg (5,33-34,66 kPa)
Tension (V) : 5
Écran d'affichage : LCD
Fréquence cardiaque : 40-200 fois/min
Poids du produit : 0,3460 kg
Poids du colis : 0,4390 kg
Taille du produit (LxlxH) : 10,10x4,80x13,20 cm/3,98x1,89x5,2 pouces
Taille de l'emballage (LxlxH) : 11,00x6,50x17,40 cm/4,33x2,56x6,85 poucesÉcran LCD clair : le grand écran numérique LCD affiche clairement votre pression systolique, votre pression diastolique, votre fréquence cardiaque, ainsi que la date, l'heure, l'utilisateur, c'est facile à enregistrer.
Haute précision : grâce à la mesure oscillométrique de la pression artérielle, mesurez avec précision la pression artérielle et informez votre état de santé en moins de 10 secondes.
Mode double utilisateur : chacun des 90 ensembles de mesures est stocké en mémoire par utilisateur, ce qui est pratique pour consulter et conserver les données en sécurité même lorsque la batterie est épuisée.
Pression intelligente : selon la situation individuelle des participants, réglage automatique du niveau de gonflage, l'unité s'épuisera automatiquement rapidement lorsque la pression dépasse 295 mmHg.
Brassard confortable : le brassard réglable s'adapte à une circonférence supérieure du bras de 22 à 42 cm/8,67 à 16,5 pouces avec confort.Contenu de l'emballage : 1 x tension artérielle Moniteur, 1 x brassard, 1 x manuel"
GPS AUTO A TEMPS REEL ET GPS MNI GPS TRACKER,25 000 F Cfa,Rufisque Dakar,"GPS AUTO
Avec suivi en temps réel, statut accélération, coupure moteur à distance,  historique des trajets, relevé des distances parcourus etc.
Installation par un technicien confirmé après achatMINI GPS
Localiser à temps réel  vos enfants, votre véhicule, moto, vélo, animaux.
Envoyer un sms et vous entendrez toutes les communications de l'environnement du MINI GPS"
lavage haute pression,60 000 F Cfa,Plateau Dakar,khelcome business vous offre machine lavage haute pression avec service livraison disponible.
grillage,N/A,Plateau Dakar,"Khelcome business vous offre des clôtures grillages air de jeux ou rigide, grillage pvc, grille de clôture, tendeur, fil tendeur Galva ou fil de tension poteau ou piquet, jambe de force, poteau de tension ou piquet de tension, et barbelés pour la sécurité de vos maisons, entreprises, terrains, champs et autres avec service pose et livraison disponible."
Alarm🚨 anti intrusion porte/fenêtre/garage,25 000 F Cfa,Sacré-cœur Dakar,"Alarm pour protéger votre maison, bureau, appartement ou boutique. L'appareil est connecté à votre téléphone smart, et vous envoie une notification a chaque fois que la Porte est ouverte,possibilité de programmer l'alarme 🚨 en fonction des jours et heures.
Protégé ce qui est cher pour vous. Alarme de sécurité"
Onduleur Mercury 1050 VA Maverick Line Interactive,40 000 F Cfa,Médina Dakar,"Cet onduleur fournit une alimentation par batterie temporaire, en cas de panne de courant
Analyse des pannes de batteries avec alerte précoce, permettant ainsi d'effectuer à temps une maintenance préventive. En plus de cela, cet onduleur est un régulateur de tension.quantité de Onduleur Mercury 1050 VA Maverick Line Interactive
1
AJOUTER AU PANIER
ComparerAjouter à mes favoris
UGS : Mercury1050VA
Catégories : Accessoires, Onduleurs
Étiquettes : 1050 VA, Interactive, line, Maverick, Mercury, Onduleur, UPS
Share:
Onduleur Mercury 1050 VA Maverick Line Interactive UPS
Caractéristiques techniques Mercury 1050 VA Maverick Line InteractiveModel:Capacity: 1050VA/630WInput :Voltage 220-240VACVoltage Range 140-300 VACFrequency: 50 / 60HzCurrent :4.8A MaxOutput:Voltage Regulation (Bat.Mode): +/-10%Frequency :50 / 60HzWaveform: Simulated Sine waveBattery:Battery Type: 12V / 9AH x 1Charging ability: 6 hours recover to 90% capacityTransfer Time:Typical:2-6msProtection : Short circuit, Overload, Battery discharge and overcharge, Surge ProtectionIndications:Line Mode: Green lightingBattery Mode :Yellow flashingFault: Red LightingAudible Alarm:Battery Mode: Sounding every 10 secBattery low :Sounding every 1 secOverload : Sounding every 0.5 secFault: Continuous soundingEnvironment:Humidity 0-90% relative Humidity 0-40°C (Non-condensing)Noise Level : Less than 40dBDimension: 283mm x 101mm x 140mm original tout neuf scellé dans sa boîte garantie 1an avec possibilité de livraison avec facture sous 2h Nb prix fixe"
Mini chicha dispo,10 000 F Cfa,Malika Dakar,Mini chicha dispo
Grillage 100% plastique dur pour poulailler et pêche,60 000 F Cfa,Saly Portudal Thiès,"Grillage en polyéthylène haute densité, dur, inoxydable , résistant au soleil et au sel marin. 100% plastique idéale pour l élevage des poulets, poussins en batterie, casiers et nasses de pêche crevettes, langoustes, crabes etc..
Rouleau de hauteur 1 m et de longueur 50 m
Couleur : vert"
18000 Puffs,13 900 F Cfa,Point-e Dakar,Découvrez la gamme des puffs ATVS avec 18 000 taff pour un plaisir longue durée ! Choisissez parmi 12 saveurs rafraîchissantes :Blueberry IceGuava IceWatermelon IcePeach IceMixed FruitLychee IceStrawberry WatermelonGrape IceMintStrawberry IceCola IceMango Ice
Laine de verre,75 000 F Cfa,Sacré-cœur Dakar,Je vends de la laine verre très adaptée pour vos travaux d'isolation. Vente par rouleau
Machine pour fabrication de Cornets,N/A,Médina Dakar,"🎉 NOUVEAUX ARRIVAGES POUR LES COMMERCANT(ES) ! 🎉
Vous êtes vendeur sur la plage, dans un marché lors d'événements ou ailleurs? Profitez de nos machines de qualité professionnelle pour attirer les clients et augmenter vos revenus ! 🚀
Machine pour fabrication de cornets , dispositif industriel, 1 pièce, pour des cônes de Biscuit, de crème glacéePlus d'informations appeler nous"
Machine presse Agrumes,N/A,Médina Dakar,"Presse-Agrumes Professionnel Presse-Agrumes Manuel Presse-Fruits Presse-Agrumes jus d'orange pour Citron Citron Vert Grenade Fonte Acier InoxydablePour tous ceux qui aiment un bon verre de jus frais et sain à tout moment de la journée, c'est le produit qu'il vous faut ! Contrairement aux autres extracteurs de jus électriques, les presse-agrumes à main sont bien plus sains et rafraîchissants. Utilisez le comme presse-agrumes ou presse-citron, ou pour les citrons verts, les pamplemousses, les grenades et même les tomates"
Machine moulin à huile,N/A,Médina Dakar,"Petite machine à café à froid pour huile commerciale machine à huile d′arachide Olive Machine à huile à usage domestique ou professionnel
Plus d'informations appeler nous"
"Machine à pop-corn à gaz,",180 000 F Cfa,Médina Dakar,"Machine à pop-corn commerciale à gaz, batterie de stockage allergique, capacité de 500g, huile, sucre
Disponible chez SPS Distribution"
Armoire  frigo positif 2 portes inox,500 000 F Cfa,Fass Dakar,Armoire frigo positif 2 portes
Machine à Granita 3 bacs + Glace,N/A,Médina Dakar,"Description du produit :
Machine à Granita 3 bacs,
SPS Distribution propose aussi des concepts Granita + Glace Italienne
Couleurs flashy. Glace en mouvement. Sur un comptoir ou au sol, les machines GRANITA attirent le passant et promettent un instant unique au cœur de l'été.
La machine à granita participe à elle seule de l'attractivité de votre point de vente.
Disponible uniquement chez SPS Distribution"
Machine d'étiquetage,N/A,Médina Dakar,"Ce produit peut être utilisé pour diverses étiquettes telles que des étiquettes publicitaires, des étiquettes de marque, des étiquettes promotionnelles.SPS Distribution votre meilleur partenaire pour vous faciliter la vie."
Machine à glace popsicle,N/A,Médina Dakar,"SPS Distribution vous propose des machines à glaceAvantages:
Longue durée de vie: Cette machine manuelle de cachetage de popsicle de sucette glacée (BPZ-02) est conçue pour fournir une longue durée de vie, s'assurant que votre entreprise peut fonctionner sans problème pendant une période prolongée sans remplacements fréquents.
Capacité de production élevée: Avec une capacité de production de 6000 morceaux par jour, cette machine est idéale pour des applications commerciales à grande échelle, telles que des hôtels, des restaurants, et des usines de nourriture et de boisson.
Efficacité énergétique: La machine fonctionne à une puissance de 1.9 kW, ce qui en fait une option écoénergétique pour les entreprises qui cherchent à réduire leurs factures d'électricité.
Opération conviviale: Cette machine manuelle de cachetage de popsicle de sucette glacée est facile à utiliser, permettant à des utilisateurs de produire rapidement des sucettes glacées de haute qualité avec la formation minimale.
Conformité aux normes de l'industrie: En tant que produit certifié CE, cette machine répond aux normes de sécurité et de qualité nécessaires, offrant une tranquillité d'esprit aux propriétaires et aux opérateurs.
Plus d'informations appeler nous ou passer a la boutique"
Machine presse hamburgers,N/A,Médina Dakar,"La presse à hamburger  vous permet de former la portion parfaite de viande. Un équipement indispensable dans les bars à hamburgers professionnels, les snack-bars et les restaurants.
Avantages
Les éléments destinés au contact avec la viande sont en acier inoxydable
Forme des hamburgers jusqu'à ø130 mm
Démoulage facile de la viande grâce à un levier spécial
Un récipient séparateur de galettes pour les portions préparées"
CARREAUX DIMENSION 60×60,N/A,Keur Massar Dakar,"Je vends des Carreaux avec des dimensions différentes, ATRIO SM LIGHT, XS ARIANNE ALMOND, SIENA TOSCANO RC, .....avec éclat ou en Mat pour vos salons, cuisines, chambres , salon , escaliers et couloirs.
Pour plus d'informations veuillez nous contacter."
FRITEUSE ÉLECTRIQUE,25 000 F Cfa,VDN Dakar,"Nom du produit : Friteuse
Modèle : R.5220
Marque :RAF
Capacité : 6L
Matériel : SS PP
Origine : Chine
QTÉ/CTN : 4 pièces/ctn
Puissance : 2500W
Carton Taille : 584552cm
Garantie: 1 année
Poids du carton : 11.2kg
Emballage : Boîte de couleur + carton"
Réfrigérateur solstar 10v 20v 30v,10 F Cfa,Colobane Dakar,Des regulateur solair 10v 20v et 30 vo tout neuf Tres bonne qualite a des prix imbattables
Table ergonomique,80 000 F Cfa,Ouakam Dakar,Table réglable - manuel. J'ai acheté au printemps 2024. 120x59x75cm.
Ensemble chaise anglaise et lavabo,1 F Cfa,Sicap Sacré-cœur Dakar,Des ensembles chaise anglaise et lavabo avec différents modèles disponibles à différents prix veuillez nous contacter svp merci
DOUILLES POUR SONDE LAMBDA ET CAPTEUR D'OXYGÈNE,45 000 F Cfa,Mbour Thiès,"Coffret de douilles pour sonde Lambda et capteur d'oxygène.
Idéal pour enlever et installer des capteurs d'oxygène et des interrupteurs à vide .
Pour les voitures.Produit neuf. (A30)."
Location journaliere de marmite de sablage Clemco 200L,25 000 F Cfa,Hann maristes Dakar,"La machine de sablage se trouve au cœur d'un système de sablage à pression. Il est essentiel de porter la plus grande attention à la configuration et à la compatibilité des composants de la machine, pour assurer une efficacité de sablage maximale. Grâce à l'expérience approfondie et à son engagement en faveur de l'innovation, nos produits apportent des niveaux élevés de fiabilité, de longévité et de sécurité dans le sablage à l'abrasif."
Location journalière de marmite de sablage Clemco 200L,25 000 F Cfa,Hann maristes Dakar,"La machine de sablage se trouve au cœur d'un système de sablage à pression. Il est essentiel de porter la plus grande attention à la configuration et à la compatibilité des composants de la machine, pour assurer une efficacité de sablage maximale. Grâce à l'expérience approfondie et à son engagement en faveur de l'innovation, nos produits apportent des niveaux élevés de fiabilité, de longévité et de sécurité dans le sablage à l'abrasif."
Feuillard et aggraffe,20 000 F Cfa,Tivaouane peulh Dakar,Feuillard en plastique disponible par rouleaux de 2000m en couleur vert jaune noir bleu
Foreuse,50 000 F Cfa,Mermoz Dakar,Foreuse pour creuser rapide et efficace
Store sur-mesure,20 000 F Cfa,Point-e Dakar,"Vends des stores sur-mesure.12 couleurs disponibles.Prix par m2 des stores jour et nuit affiché.
Stores vertical et Vénitien disponible"
Économiseur Énergie,15 000 F Cfa,Mbao Dakar,"Enfin la solution facile pour réduire votre facture d'électricité.
Cet appareil révolutionnaire nommé
ECONOMISEUR ÉNERGIE
est l'un des équipements le plus important que vous deviez avoir dans votre maison moderneil équilibre l'électricitéamélioré l'utilisation des appareils électriqueséconomiser la consommation jusqu'à 40%"
Moteur 160,95 000 F Cfa,Parcelles Assainies Dakar,Vous désirez certainement travailler partout où  vous voulez et bien pourquoi ne pas en avoir un. Il est tout neuf.
"Puissante monte charge yall 1,5 t ;  1, 2 t  et 1 t",290 000 F Cfa,Parcelles Assainies Dakar,Dotée d un système électronique très efficace ; cette spéciale machine dont la hauteur du câble fait 30 m vous aidera dans vos travaux. N hésitez donc pas à m appeler.
Lambris decoration,N/A,Thiaroye Dakar,Lambris pour décoration
CAMERA DE VIDÉO SURVEILLANCE,65 000 F Cfa,Nord foire Dakar,VENTE ET INSTALLATION DE VIDÉO SURVEILLANCE
camera de sécurité,N/A,Nord foire Dakar,VENTE INSTALLATION ET MAINTENANCE CAMERA
Taser multifonction 3 in 1,16 000 F Cfa,Plateau Dakar,"Les 3 fonctions sont: Pistolet taser 12000000 volts, Lampe de poche 200 lumen lumière police Laser rouge de 5 mw aveuglante La torche et le laser sont allumés à l'aide d'un bouton double-clic qui est activé avec le pouce, tandis que pour la décharge électrique il y a un petit bouton sur le côté opposé qui ne fonctionne que si la sécurité est déverrouillée (ON / OFF); cela empêche une décharge accidentelle. Ce pistolet paralysant ressemble à une torche commune comme celles de la police, à garder à portée de main dans diverses situations sans attirer l'attention mais au moment de besoin, il est pratique et rapide à utiliser."
Puissant marteau piqueur Hammer 4300w,135 000 F Cfa,Parcelles Assainies Dakar,"Demolissez rapidement vos dalles, rochers, béton  en quelques fractions de minutes voilà  justement un outil qu "" il vous faut. Ne ratez surtout pas cette spéciale offre. Il est tout neuf accompagné de 2 puissants brins."
Laser Bosch 3 D,135 000 F Cfa,Parcelles Assainies Dakar,"Bosch 3D est utilisé pour projeter des lignes de référence à 360° ou sur plusieurs axes. Cela permet aux utilisateurs de niveler et aligner des éléments avec une grande précision, comme des cloisons, des plafonds, des meubles ou des équipements.
N hésitez donc pas à m appeler."
Kit caméra 4 Fosvision,105 000 F Cfa,Plateau Dakar,"Les systèmes de vidéosurveillance comprennent un réseau d'enregistrement en temps réel 4CH AHD DVR et 4pcs intérieur/extérieur résistant aux intempéries IR Day & Caméras de surveillance nocturne fournissant tout ce dont vous avez besoin pour que votre système de surveillance soit opérationnel dans votre maison ou entreprise rapidement et facilement. Il prend également en charge la vue sur ordinateur et smartphone, etc"
Mini caméra SQ11 de surveillance 1080p sans wifi,9 000 F Cfa,Ouest foire Dakar,"Mini caméra SQ11 de surveillance 1080p sans wifi avec vision nocturneDescriptionLa mini caméra SQ11 est un appareil compact et portable capable d'enregistrer des vidéos en résolution 1080p. Elle présente un format compact, ce qui la rend adaptée à la surveillance ou à l'enregistrement discret. La caméra est équipée de LED infrarouges pour la vision nocturne, ce qui lui permet de capturer des images claires même dans des conditions de faible luminosité. Elle prend en charge les cartes microSD pour le stockage et dispose d'une batterie rechargeable intégrée pour un fonctionnement autonomeComment l'activer ?Pour l'activer, maintenez le bouton d'alimentation enfoncé pendant 3 secondes jusqu'à ce que la LED rouge clignote trois fois. Ensuite, la caméra détectera automatiquement les mouvements et commencera à enregistrer dès qu'un mouvement est détecté.Caractéristiques principales :Résolution vidéo : 1920x1080p (Full HD)
Vision nocturne : LED infrarouges pour les conditions de faible luminosité
Détection de mouvement : démarre automatiquement l'enregistrement lorsqu'un mouvement est détecté
Stockage : prend en charge les cartes microSD jusqu'à une certaine capacité (vérifiez le modèle spécifique pour plus de détails)
Connectivité : Port USB pour le chargement et le transfert de données
Batterie : Batterie rechargeable intégrée pour une utilisation portable
Taille : Conception compacte et légère pour un placement et une dissimulation facilesSpécifications techniques :Format vidéo : AVI
Proportion de l'image : 4:3
Fréquence d'images : 30 ips
Type d'interface : Mini USB
Capacité de la batterie : variable (dépend du modèle spécifique)
Tension de charge : DC 5V
Support de stockage : carte MicroSD (non incluse)
Température de fonctionnement : -10°C à 50°CApplications :Surveillance : Idéal pour la sécurité à domicile ou pour surveiller des zones en toute discrétion.
Usage personnel : Convient à l'enregistrement d'activités ou d'événements personnels.
Voyage : sa taille compacte le rend pratique pour capturer des moments de voyage.
Collecte de preuves : peut être utilisée pour recueillir des preuves ou documenter des incidents."
Caméra de sécurité pour l'extérieur avec panneau solaire,60 000 F Cfa,Grand-Dakar Dakar,"Caméra de surveillance solaire pour l'extérieur, Caméra de sécurité sans fil pour l'extérieur avec panneau solaire, Caméra WiFi à piles, Caméra solaire HD pour l'extérieur avec vision nocturne en couleur, Détection PIR"
"Sabot de police, sabot anti-stationnement",N/A,Plateau Dakar,"khelcome business vous offre Sabot de police, sabot anti-stationnement pour voiture ou sabot auto lourd et léger avec service livraison disponible."
ralentisseur de vitesse chaussée en caoutchouc,N/A,Plateau Dakar,khelcome business vous offre Dos d'âne ralentisseur de vitesse chaussée en plastique dodane avec service livraison disponible
tampon regard grille caniveau égout assainissement,N/A,Plateau Dakar,khelcome business vous offre des couvercles égouts ou plaques égouts tampons regards et grilles avaloir ou grille de caniveau égout pour assainissement avec livraison disponible
réservoir,N/A,Plateau Dakar,"khelcome business vous offre des réservoirs d'eau, fut cuve ou baril d'eau de 100L jusqu'à 5000L avec service livraison disponible."
4 Caméras IP (poe) 4 mp + Nvr + disk,150 000 F Cfa,Dieuppeul Dakar,"Micro + audio
04 caméras ip (poe) 4mp + nvr 04 ports poe + s + disk dur
kit vidéo surveillance avec 2to nvr et 8 x 4mpcaméra ip poe ,ip67 etanche,vision nocturne exir 2.0 de 30m,détection de movement
vous pouvez visualiser les vidéos via votre telephone partout où vous etes dans le monde
garanties 02 ans"
4 Caméras+ Dvr + disk,75 000 F Cfa,Dieuppeul Dakar,"04 Caméras + Dvr 4 port+ Disk dur 500go
Kit 4 caméras de 2megapixel chacune ,4cables de 20m chacun ,dvr de 4port ,disc 500go
*Visionage à distance
*Vison nocturne
*Caméras (2in et 2out)
*4x20m cables
*dvr 4port
*disc 500go
Garanties: 12 mois"
Porte d'entrée et garage/design moderne,1 F Cfa,Sacré-cœur Dakar,"Porte d'entrée et garage avec différents modèles disponibles en fer galva , découpage laser .plus d'informations veuillez nous contacter"
Luminaire/ lustre design,1 F Cfa,Sacré-cœur Dakar,Des lustres design avec différents modèles disponibles à différents prix. Plus d'informations veuillez nous contacter.
grillage,N/A,Plateau Dakar,"Khelcome business vous offre des clôtures grillages air de jeux ou rigide, grillage pvc, grille de clôture, tendeur, fil tendeur Galva ou fil de tension poteau ou piquet, jambe de force, poteau de tension ou piquet de tension, et barbelés pour la sécurité de vos maisons, entreprises, terrains, champs et autres avec service pose et livraison disponible."
tole pvc tuile bac aluzinc ardoise zinc,N/A,Plateau Dakar,"Khelcome business vous offre des toitures couverture en tole bac acier ondule, tole pvc, tole tuile, bac tuile plastique, panneau tuile, plaque pvc imitation tuile, tôle imitation tuile, auvent fenêtre, auvent terrasse, auvent jardin, bac zinc alu, tuile métallique ou bac tuile, ondiculaire, zinc bac en plastique, ardoise en plastique, ardoise fibrociment etc.. avec tout accessoire poutrelle en fer et en bois, crochet fixateur"
FILTRE ANTI-GOUDRON,10 000 F Cfa,Grand-Yoff Dakar,"Détails du produit
Le porte-cigarette adopte une méthode de filtrage microporeuse qui réduit efficacement le goudron de fumée et les taches inhalées, atténue les taches causées par la fumée sur les dents et les doigts, et garde votre embouchure de cigarette sèche. L'article peut être démonté pour le nettoyer et donc réutilisé.
Caractériser par :Embouchure en plastique.
Filtre métallique,Méthode de filtration : filtrage microporeux (amovible, nettoyable), Utilisé pour : cigarette standard (7,6 mm)"
Carreaux faïence Digitale indienne 25*37/// 30*45,5 500 F Cfa,Cambérène Dakar,Fourniture et pose Carreaux décoration pavage travaux décoration intérieur pavage travaux publics etenchieté matériel sanitaire
Porte neuve toilette ou chambre,49 000 F Cfa,Nord foire Dakar,Porte neuve toilette ou chambre disponible à Nord Foire en face de la brioche d'oree
Porte antibruit double vitrage balcon ou salon,127 000 F Cfa,Nord foire Dakar,"Porte deux ouvrants pvc, double battants double vitrage, quasi blindée, étanche, isolante thermique, phonique, confort et sécurité garantie en cas de fermeture. Idéales en bordure marine et routière.
Nous sommes à Nord foire en face de la brioche d'oree"
Porte toilette pvc double vitrage,70 000 F Cfa,Nord foire Dakar,Porte toilette pvc double vitrage antibruit disponible à Nord Foire en face de la brioche d'oree
Coffre fort a code,45 000 F Cfa,Mbao Dakar,"Ideale pour Boutique commerce, domicile ou hotel.strong textList item"
Akai Mini MPK MK1,35 000 F Cfa,Cité assemblée Dakar,Mini Piano de 25 Touches
"Ensemble chaise anglaise , lavabo avec robinet",60 000 F Cfa,Patte d‘oie Dakar,"Chaise anglaise avec douchette , plus lavabo avec robinet et les accessoires pour le montage"
Démarreur saut batterie compresseur,40 000 F Cfa,Castor Dakar,"Caractéristique:
Prend en charge la charge rapide qc3.0.
Tension Stable, courant, fonction de charge d'équilibre.
Cellule de classe A, sûre et anti-explosion.
Améliorez 4 cellules et démarrez fortement.
600A courant De Crête.
18000mAh grande capacité.
Diesel 5.0L, e-ssence 6.0L voiture peut être utilisé.
Protection de connexion inverse.
4 USB de charge.
La pleine puissance peut être démarrée 30 fois.
Supporte une charge rapide de téléphone de 18W.
Température limite-40 ~ 80 °C.
Système de Protection Intelligent.
La tête de chargement du produit est une prise européenne.
Urgence nocturne, éclairage de sauvetage:Système d'éclairage éblouissant intégré.Double-cliquez pour entrer, le rouge et le bleu clignotent, double-cliquez à nouveau pour sortir.Appuyez longuement sur le bouton du milieu pendant 3 secondes.
Appuyez à nouveau en mode rafale.Après avoir allumé la lampe de poche, appuyez à nouveau sur l'interrupteur pour devenir un flash, l'interrupteur est en mode détresse."
Pistolet lavage haute pression,28 000 F Cfa,Castor Dakar,"Résoudre facilement les problèmes de nettoyage quotidiens !
Réalisez vraiment un nettoyage sans fil à tout moment, n'importe où !￼CARACTÉRISTIQUESLe nettoyeur haute pression sans fil prend en compte la portabilité et la commodité, il n'y a plus de câble d'alimentation, fonctionne sur batterie haute capacité, vous permettant de nettoyer tous vos espaces et équipements extérieurs, à tout moment, n'importe où, tous vos espaces extérieurs et équipements, à tout moment, n'importe où.￼Venez avec 2 buses remplaçables qui offrent 2 modèles de pulvérisation pour rincer les taches tenaces ou pour couvrir une large gamme pour mouiller la carrosserie de la voiture ou pour baigner les animaux domestiques.￼La conception auto-amorçante vous évite les soucis d'approvisionnement en eau, vous pouvez facilement obtenir de l'eau de n'importe quel réservoir ou robinet, et le filtre évite les problèmes de colmatage. Avec des accessoires complets pour faire le travail de nettoyage.￼Un moteur puissant pressurise le débit d'eau à 22 bars, éliminant facilement la boue et les taches les plus tenaces des surfaces extérieures de la maison, des portails"
